"ID","Case Number","Date","Block","IUCR","Primary Type","Description","Location Description","Arrest","Domestic","Beat","District","Ward","Community Area","FBI Code","X Coordinate","Y Coordinate","Year","Updated On","Latitude","Longitude","Location"
"14059188","JJ526871","12/15/2025 12:00:00 AM","006XX N DEARBORN ST","1154","DECEPTIVE PRACTICE","FINANCIAL IDENTITY THEFT $300 AND UNDER","APARTMENT","false","false","1832","018","42","8","11","1175833","1904257","2025","12/22/2025 03:42:20 PM","41.892649581","-87.629682213","(41.892649581, -87.629682213)"
"14059807","JJ527532","12/15/2025 12:00:00 AM","032XX W 26TH ST","1242","DECEPTIVE PRACTICE","COMPUTER FRAUD","BANK","false","false","1024","010","25","30","11","1155242","1886553","2025","12/22/2025 03:42:20 PM","41.844506402","-87.705780068","(41.844506402, -87.705780068)"
"14058164","JJ524077","12/15/2025 12:00:00 AM","076XX S STEWART AVE","0620","BURGLARY","UNLAWFUL ENTRY","APARTMENT","false","false","0621","006","17","69","05","1174951","1854222","2025","12/22/2025 03:42:20 PM","41.755368956","-87.634416245","(41.755368956, -87.634416245)"
"14056014","JJ522705","12/15/2025 12:00:00 AM","038XX S CALUMET AVE","1320","CRIMINAL DAMAGE","TO VEHICLE","VEHICLE NON-COMMERCIAL","false","false","0212","002","3","35","14","1179154","1879664","2025","12/22/2025 03:42:20 PM","41.82508949","-87.618237917","(41.82508949, -87.618237917)"
"14057993","JJ525316","12/15/2025 12:00:00 AM","040XX W 115TH ST","1310","CRIMINAL DAMAGE","TO PROPERTY","RESIDENCE","false","true","2211","022","19","74","14","1151275","1828011","2025","12/22/2025 03:42:20 PM","41.683936153","-87.721865668","(41.683936153, -87.721865668)"
"14056388","JJ523170","12/15/2025 12:00:00 AM","052XX S CARPENTER ST","0486","BATTERY","DOMESTIC BATTERY SIMPLE","APARTMENT","false","true","0934","009","20","61","08B","1170200","1870161","2025","12/22/2025 03:42:20 PM","41.799212087","-87.651364176","(41.799212087, -87.651364176)"
"14059213","JJ526986","12/15/2025 12:00:00 AM","023XX W MARQUETTE RD","2826","OTHER OFFENSE","HARASSMENT BY ELECTRONIC MEANS","RESIDENCE","false","false","0832","008","16","66","26","1162000","1860173","2025","12/22/2025 03:42:20 PM","41.771978272","-87.681713242","(41.771978272, -87.681713242)"
"14057228","JJ524328","12/15/2025 12:00:00 AM","017XX W DEVON AVE","1120","DECEPTIVE PRACTICE","FORGERY","RESIDENCE","false","false","2433","024","40","77","10","1163754","1942565","2025","12/22/2025 03:42:20 PM","41.998031985","-87.672959422","(41.998031985, -87.672959422)"
"14059202","JJ526699","12/15/2025 12:00:00 AM","068XX S CLYDE AVE","1154","DECEPTIVE PRACTICE","FINANCIAL IDENTITY THEFT $300 AND UNDER","APARTMENT","false","false","0331","003","5","43","11","1191391","1860002","2025","12/22/2025 03:42:20 PM","41.770847449","-87.573981731","(41.770847449, -87.573981731)"
"14056653","JJ523508","12/15/2025 12:00:00 AM","047XX S MICHIGAN AVE","1750","OFFENSE INVOLVING CHILDREN","CHILD ABUSE","APARTMENT","false","true","0224","002","3","38","08B","1177958","1873533","2025","12/22/2025 03:42:20 PM","41.80829274","-87.622811656","(41.80829274, -87.622811656)"
"14061513","JJ529648","12/15/2025 12:00:00 AM","080XX S KEELER AVE","1153","DECEPTIVE PRACTICE","FINANCIAL IDENTITY THEFT OVER $ 300","RESIDENCE","false","false","0834","008","18","70","11",,,"2025","12/22/2025 03:42:20 PM",,,
"14055837","JJ522511","12/14/2025 11:57:00 PM","020XX N LEAMINGTON AVE","0486","BATTERY","DOMESTIC BATTERY SIMPLE","APARTMENT","true","true","2522","025","36","19","08B","1141757","1913051","2025","12/22/2025 03:42:20 PM","41.917479967","-87.754612731","(41.917479967, -87.754612731)"
"14055870","JJ522502","12/14/2025 11:48:00 PM","012XX N WELLS ST","0460","BATTERY","SIMPLE","BAR OR TAVERN","false","false","1821","018","2","8","08B","1174488","1908476","2025","12/22/2025 03:42:20 PM","41.9042569","-87.634495594","(41.9042569, -87.634495594)"
"14055893","JJ522510","12/14/2025 11:45:00 PM","004XX N WABASH AVE","1330","CRIMINAL TRESPASS","TO LAND","OTHER (SPECIFY)","false","false","1834","018","42","8","26","1176592","1902931","2025","12/22/2025 03:42:20 PM","41.888993854","-87.626934833","(41.888993854, -87.626934833)"
"14055903","JJ522526","12/14/2025 11:40:00 PM","015XX W 94TH ST","0486","BATTERY","DOMESTIC BATTERY SIMPLE","APARTMENT","false","true","2221","022","21","73","08B","1167512","1842383","2025","12/22/2025 03:42:20 PM","41.723043634","-87.662016704","(41.723043634, -87.662016704)"
"14055851","JJ522508","12/14/2025 11:38:00 PM","004XX N WABASH AVE","1150","DECEPTIVE PRACTICE","CREDIT CARD FRAUD","APARTMENT","false","false","1834","018","42","8","11","1176658","1903452","2025","12/22/2025 03:42:20 PM","41.890422014","-87.626676701","(41.890422014, -87.626676701)"
"14055853","JJ522494","12/14/2025 11:32:00 PM","054XX N CUMBERLAND AVE","1330","CRIMINAL TRESPASS","TO LAND","PARKING LOT / GARAGE (NON RESIDENTIAL)","false","false","1614","016","41","76","26","1119317","1935156","2025","12/22/2025 03:42:20 PM","41.97852489","-87.836589041","(41.97852489, -87.836589041)"
"14055843","JJ522509","12/14/2025 11:32:00 PM","096XX S FOREST AVE","0620","BURGLARY","UNLAWFUL ENTRY","RESIDENCE","false","false","0511","005","9","49","05","1179949","1841137","2025","12/22/2025 03:42:20 PM","41.719349279","-87.616499406","(41.719349279, -87.616499406)"
"14055882","JJ522513","12/14/2025 11:30:00 PM","031XX W POPE JOHN PAUL II DR","0486","BATTERY","DOMESTIC BATTERY SIMPLE","APARTMENT","true","true","0921","009","12","58","08B","1156079","1875959","2025","12/22/2025 03:42:20 PM","41.815418335","-87.702993664","(41.815418335, -87.702993664)"
"14055915","JJ522590","12/14/2025 11:30:00 PM","005XX E 33RD PL","0910","MOTOR VEHICLE THEFT","AUTOMOBILE","STREET","false","false","0211","002","4","35","07","1180652","1882807","2025","12/22/2025 03:42:20 PM","41.833679765","-87.612645497","(41.833679765, -87.612645497)"
"14057584","JJ523770","12/14/2025 11:30:00 PM","006XX N LAKE SHORE DR","0890","THEFT","FROM BUILDING","HOTEL / MOTEL","false","false","1834","018","2","8","06","1179792","1904743","2025","12/22/2025 03:42:20 PM","41.893893173","-87.615127644","(41.893893173, -87.615127644)"
