x,y,time,weight,type,description
41.892650,-87.629682,0,1,"FRAUD","FINANCIAL IDENTITY THEFT $300 AND UNDER"
41.844506,-87.705780,0,1,"FRAUD","COMPUTER FRAUD"
41.755369,-87.634416,0,1,"THEFT","UNLAWFUL ENTRY"
41.825089,-87.618238,0,1,"VANDALISM","TO VEHICLE"
41.683936,-87.721866,0,1,"VANDALISM","TO PROPERTY"
41.799212,-87.651364,0,1,"ASSAULT","DOMESTIC BATTERY SIMPLE"
41.771978,-87.681713,0,1,"OTHER OFFENSE","HARASSMENT BY ELECTRONIC MEANS"
41.998032,-87.672959,0,1,"FRAUD","FORGERY"
41.770847,-87.573982,0,1,"FRAUD","FINANCIAL IDENTITY THEFT $300 AND UNDER"
41.808293,-87.622812,0,1,"OFFENSE INVOLVING CHILDREN","CHILD ABUSE"
41.917480,-87.754613,1437,1,"ASSAULT","DOMESTIC BATTERY SIMPLE"
41.904257,-87.634496,1428,1,"ASSAULT","SIMPLE"
41.888994,-87.626935,1425,1,"VANDALISM","TO LAND"
41.723044,-87.662017,1420,1,"ASSAULT","DOMESTIC BATTERY SIMPLE"
41.890422,-87.626677,1418,1,"FRAUD","CREDIT CARD FRAUD"
41.978525,-87.836589,1412,1,"VANDALISM","TO LAND"
41.719349,-87.616499,1412,1,"THEFT","UNLAWFUL ENTRY"
41.815418,-87.702994,1410,1,"ASSAULT","DOMESTIC BATTERY SIMPLE"
41.833680,-87.612645,1410,1,"THEFT","AUTOMOBILE"
41.893893,-87.615128,1410,1,"THEFT","FROM BUILDING"
41.722412,-87.537713,1409,1,"ASSAULT","DOMESTIC BATTERY SIMPLE"
41.812288,-87.619675,1407,1,"ASSAULT","DOMESTIC BATTERY SIMPLE"
41.973777,-87.679337,1394,1,"THEFT","ARMED - HANDGUN"
41.771393,-87.672488,1391,1,"ASSAULT","AGG. DOMESTIC BATTERY - HANDS, FISTS, FEET, SERIOUS INJURY"
41.925714,-87.688893,1390,1,"ARSON","BY FIRE"
41.991822,-87.706730,1388,1,"ASSAULT","DOMESTIC BATTERY SIMPLE"
41.975319,-87.666946,1380,1,"THEFT","OVER $500"
41.867299,-87.773415,1380,1,"THEFT","AUTOMOBILE"
41.795368,-87.701954,1380,1,"ASSAULT","DOMESTIC BATTERY SIMPLE"
41.737138,-87.570056,1380,1,"THEFT","AUTOMOBILE"
41.896088,-87.723655,1380,1,"ASSAULT","DOMESTIC BATTERY SIMPLE"
41.945614,-87.818024,1380,1,"VANDALISM","TO PROPERTY"
41.895003,-87.621528,1380,1,"ASSAULT","SIMPLE"
41.748704,-87.651873,1378,1,"OTHER OFFENSE","VIOLATION GPS MONITORING DEVICE"
41.846097,-87.723998,1373,1,"ASSAULT","AGGRAVATED P.O. - HANDS, FISTS, FEET, NO / MINOR INJURY"
41.871531,-87.744927,1370,1,"ASSAULT","DOMESTIC BATTERY SIMPLE"
41.935393,-87.730907,1370,1,"ASSAULT","SIMPLE"
41.941286,-87.649308,1367,1,"VANDALISM","TO PROPERTY"
41.734918,-87.669122,1365,1,"THEFT","UNLAWFUL ENTRY"
41.870955,-87.706656,1364,1,"OTHER OFFENSE","VIOLATE ORDER OF PROTECTION"
41.724836,-87.626325,1363,1,"THEFT","AUTOMOBILE"
41.875679,-87.626575,1363,1,"PUBLIC PEACE VIOLATION","ARSON THREAT"
41.962305,-87.658243,1355,1,"VANDALISM","TO PROPERTY"
41.886947,-87.698909,1354,1,"ASSAULT","AGGRAVATED - HANDGUN"
41.924629,-87.714759,1350,1,"THEFT","VEHICULAR HIJACKING"
41.776563,-87.693329,1350,1,"ASSAULT","SIMPLE"
41.733899,-87.668410,1348,1,"ASSAULT","DOMESTIC BATTERY SIMPLE"
41.852507,-87.730537,1345,1,"VANDALISM","TO VEHICLE"
41.918424,-87.763999,1340,1,"ASSAULT","DOMESTIC BATTERY SIMPLE"
41.821139,-87.614984,1336,1,"VANDALISM","TO VEHICLE"
41.895594,-87.702323,1336,1,"OTHER OFFENSE","OTHER WEAPONS VIOLATION"
41.879638,-87.736054,1326,1,"NARCOTICS","POSSESS - COCAINE"
41.854771,-87.630149,1321,1,"ASSAULT","DOMESTIC BATTERY SIMPLE"
41.882240,-87.765338,1320,1,"THEFT","AUTOMOBILE"
41.752805,-87.561404,1320,1,"THEFT","UNLAWFUL ENTRY"
41.893163,-87.636067,1320,1,"VANDALISM","TO VEHICLE"
41.780526,-87.595767,1320,1,"THEFT","BURGLARY FROM MOTOR VEHICLE"
42.018896,-87.809646,1320,1,"THEFT","OVER $500"
41.870910,-87.688589,1320,1,"THEFT","ATTEMPT - AUTOMOBILE"
41.786113,-87.793794,1320,1,"VANDALISM","TO VEHICLE"
41.773107,-87.680910,1317,1,"ASSAULT","SIMPLE"
41.855135,-87.662557,1310,1,"THEFT","$500 AND UNDER"
41.779521,-87.660962,1310,1,"SEX OFFENSE","PUBLIC INDECENCY"
41.792265,-87.785913,1307,1,"ASSAULT","SIMPLE"
41.874190,-87.738580,1307,1,"ASSAULT","DOMESTIC BATTERY SIMPLE"
41.740422,-87.553917,1298,1,"OTHER OFFENSE","TELEPHONE THREAT"
41.799023,-87.647710,1290,1,"ASSAULT","SIMPLE"
41.905807,-87.663900,1290,1,"VANDALISM","TO VEHICLE"
41.955181,-87.669075,1290,1,"THEFT","OVER $500"
41.757542,-87.618296,1290,1,"VANDALISM","TO VEHICLE"
41.702173,-87.669140,1290,1,"VANDALISM","TO PROPERTY"
41.902275,-87.664797,1282,1,"ASSAULT","AGGRAVATED - HANDGUN"
41.901827,-87.723836,1278,1,"NARCOTICS","POSSESS - CRACK"
41.716466,-87.561099,1275,1,"THEFT","ATTEMPT - AUTOMOBILE"
41.738487,-87.549059,1268,1,"THEFT","UNLAWFUL ENTRY"
41.759996,-87.628615,1265,1,"ASSAULT","DOMESTIC BATTERY SIMPLE"
41.736907,-87.586253,1264,1,"ASSAULT","DOMESTIC BATTERY SIMPLE"
41.807499,-87.590234,1260,1,"THEFT","THEFT FROM MOTOR VEHICLE"
41.836434,-87.624453,1260,1,"VANDALISM","TO VEHICLE"
41.757380,-87.623132,1260,1,"THEFT","AUTOMOBILE"
41.731150,-87.606510,1260,1,"THEFT","AUTOMOBILE"
41.773839,-87.633270,1260,1,"ASSAULT","DOMESTIC BATTERY SIMPLE"
41.924384,-87.666962,1260,1,"ASSAULT","DOMESTIC BATTERY SIMPLE"
41.873578,-87.688654,1260,1,"THEFT","AUTOMOBILE"
41.893223,-87.631534,1260,1,"THEFT","$500 AND UNDER"
41.769718,-87.646951,1260,1,"OTHER OFFENSE","HARASSMENT BY TELEPHONE"
41.791761,-87.656027,1260,1,"THEFT","AUTOMOBILE"
41.736684,-87.552800,1251,1,"VANDALISM","TO PROPERTY"
41.792802,-87.708441,1245,1,"VANDALISM","TO PROPERTY"
41.889013,-87.768793,1244,1,"THEFT","OVER $500"
41.871835,-87.726415,1242,1,"ASSAULT","DOMESTIC BATTERY SIMPLE"
41.885504,-87.627935,1235,1,"ASSAULT","AGGRAVATED - KNIFE / CUTTING INSTRUMENT"
41.688338,-87.605908,1234,1,"VANDALISM","TO PROPERTY"
41.878000,-87.643080,1230,1,"THEFT","$500 AND UNDER"
41.931963,-87.712876,1230,1,"THEFT","THEFT / RECOVERY - AUTOMOBILE"
41.698460,-87.537697,1225,1,"OTHER OFFENSE","TELEPHONE THREAT"
41.746346,-87.653628,1221,1,"WEAPONS","OTHER"
41.993044,-87.660360,1220,1,"THEFT","RETAIL THEFT"
41.851355,-87.723988,1214,1,"ASSAULT","AGGRAVATED - HANDGUN"
41.882447,-87.624378,1200,1,"ASSAULT","PROTECTED EMPLOYEE - HANDS, FISTS, FEET, NO / MINOR INJURY"
